country,period,variable,value
AUS,1949-02-01,tas,25.84
AUS,1949-03-01,tas,24.68
AUS,1949-04-01,tas,20.66
AUS,1949-05-01,tas,16.91
AUS,1949-06-01,tas,13.31
AUS,1949-07-01,tas,14.01
AUS,1949-08-01,tas,15.91
AUS,1949-09-01,tas,18.38
AUS,1949-10-01,tas,22.18
AUS,1949-11-01,tas,24.2
AUS,1949-12-01,tas,27.13
AUS,1950-01-01,tas,27.43
AUS,1950-02-01,tas,26.39
AUS,1950-03-01,tas,24.82
AUS,1950-04-01,tas,21.37
AUS,1950-05-01,tas,18.3
AUS,1950-06-01,tas,13.93
AUS,1950-07-01,tas,13.97
AUS,1950-08-01,tas,15.28
AUS,1950-09-01,tas,19.09
AUS,1950-10-01,tas,21.38
AUS,1950-11-01,tas,24.36
AUS,1950-12-01,tas,26.46
AUS,1951-01-01,tas,27.09
AUS,1951-02-01,tas,26.95
AUS,1951-03-01,tas,26.16
AUS,1951-04-01,tas,20.77
AUS,1951-05-01,tas,16.85
AUS,1951-06-01,tas,15.0
AUS,1951-07-01,tas,13.51
AUS,1951-08-01,tas,14.32
AUS,1951-09-01,tas,19.24
AUS,1951-10-01,tas,22.09
AUS,1951-11-01,tas,25.45
AUS,1951-12-01,tas,27.0
AUS,1952-01-01,tas,28.19
AUS,1952-02-01,tas,26.96
AUS,1952-03-01,tas,25.43
AUS,1952-04-01,tas,21.28
AUS,1952-05-01,tas,17.53
AUS,1952-06-01,tas,14.59
AUS,1952-07-01,tas,13.55
AUS,1952-08-01,tas,15.23
AUS,1952-09-01,tas,18.95
AUS,1952-10-01,tas,21.81
AUS,1952-11-01,tas,24.28
AUS,1952-12-01,tas,26.61
AUS,1953-01-01,tas,26.87
AUS,1953-02-01,tas,25.75
AUS,1953-03-01,tas,26.1
AUS,1953-04-01,tas,22.81
AUS,1953-05-01,tas,17.15
AUS,1953-06-01,tas,14.72
AUS,1953-07-01,tas,13.86
AUS,1953-08-01,tas,14.43
AUS,1953-09-01,tas,18.46
AUS,1953-10-01,tas,22.27
AUS,1953-11-01,tas,24.66
AUS,1953-12-01,tas,27.36
AUS,1954-01-01,tas,27.39
AUS,1954-02-01,tas,26.12
AUS,1954-03-01,tas,25.47
AUS,1954-04-01,tas,21.75
AUS,1954-05-01,tas,17.47
AUS,1954-06-01,tas,14.08
AUS,1954-07-01,tas,14.37
AUS,1954-08-01,tas,15.9
AUS,1954-09-01,tas,18.69
AUS,1954-10-01,tas,22.39
AUS,1954-11-01,tas,24.75
AUS,1954-12-01,tas,26.9
AUS,1955-01-01,tas,27.55
AUS,1955-02-01,tas,27.48
AUS,1955-03-01,tas,25.24
AUS,1955-04-01,tas,21.57
AUS,1955-05-01,tas,16.77
AUS,1955-06-01,tas,14.96
AUS,1955-07-01,tas,13.59
AUS,1955-08-01,tas,16.31
AUS,1955-09-01,tas,19.4
AUS,1955-10-01,tas,22.07
AUS,1955-11-01,tas,24.01
AUS,1955-12-01,tas,25.99
AUS,1956-01-01,tas,27.16
AUS,1956-02-01,tas,27.46
AUS,1956-03-01,tas,25.11
AUS,1956-04-01,tas,21.24
AUS,1956-05-01,tas,17.16
AUS,1956-06-01,tas,13.65
AUS,1956-07-01,tas,13.9
AUS,1956-08-01,tas,14.23
AUS,1956-09-01,tas,17.49
AUS,1956-10-01,tas,21.08
AUS,1956-11-01,tas,23.96
AUS,1956-12-01,tas,26.25
AUS,1957-01-01,tas,27.73
AUS,1957-02-01,tas,26.78
AUS,1957-03-01,tas,24.76
AUS,1957-04-01,tas,22.64
AUS,1957-05-01,tas,17.72
AUS,1957-06-01,tas,16.63
AUS,1957-07-01,tas,12.56
AUS,1957-08-01,tas,15.67
AUS,1957-09-01,tas,18.51
AUS,1957-10-01,tas,23.12
AUS,1957-11-01,tas,25.88
AUS,1957-12-01,tas,27.79
AUS,1958-01-01,tas,27.74
AUS,1958-02-01,tas,27.63
AUS,1958-03-01,tas,25.82
AUS,1958-04-01,tas,22.94
AUS,1958-05-01,tas,19.97
AUS,1958-06-01,tas,15.14
AUS,1958-07-01,tas,14.46
AUS,1958-08-01,tas,16.09
AUS,1958-09-01,tas,17.35
AUS,1958-10-01,tas,21.92
AUS,1958-11-01,tas,25.45
AUS,1958-12-01,tas,26.6
AUS,1959-01-01,tas,28.2
AUS,1959-02-01,tas,27.26
AUS,1959-03-01,tas,26.11
AUS,1959-04-01,tas,22.36
AUS,1959-05-01,tas,17.85
AUS,1959-06-01,tas,15.39
AUS,1959-07-01,tas,14.58
AUS,1959-08-01,tas,16.4
AUS,1959-09-01,tas,19.32
AUS,1959-10-01,tas,22.5
AUS,1959-11-01,tas,26.55
AUS,1959-12-01,tas,26.16
AUS,1960-01-01,tas,28.27
AUS,1960-02-01,tas,26.85
AUS,1960-03-01,tas,25.24
AUS,1960-04-01,tas,21.42
AUS,1960-05-01,tas,15.79
AUS,1960-06-01,tas,13.92
AUS,1960-07-01,tas,14.07
AUS,1960-08-01,tas,14.51
AUS,1960-09-01,tas,18.35
AUS,1960-10-01,tas,22.77
AUS,1960-11-01,tas,24.27
AUS,1960-12-01,tas,26.76
AUS,1961-01-01,tas,27.93
AUS,1961-02-01,tas,27.16
AUS,1961-03-01,tas,25.65
AUS,1961-04-01,tas,22.54
AUS,1961-05-01,tas,17.56
AUS,1961-06-01,tas,14.87
AUS,1961-07-01,tas,13.39
AUS,1961-08-01,tas,15.08
AUS,1961-09-01,tas,19.94
AUS,1961-10-01,tas,23.77
AUS,1961-11-01,tas,25.4
AUS,1961-12-01,tas,27.52
AUS,1962-01-01,tas,27.71
AUS,1962-02-01,tas,27.21
AUS,1962-03-01,tas,25.06
AUS,1962-04-01,tas,21.7
AUS,1962-05-01,tas,17.13
AUS,1962-06-01,tas,16.41
AUS,1962-07-01,tas,14.53
AUS,1962-08-01,tas,15.44
AUS,1962-09-01,tas,18.8
AUS,1962-10-01,tas,22.24
AUS,1962-11-01,tas,26.07
AUS,1962-12-01,tas,26.9
AUS,1963-01-01,tas,27.13
AUS,1963-02-01,tas,27.2
AUS,1963-03-01,tas,25.94
AUS,1963-04-01,tas,21.24
AUS,1963-05-01,tas,18.19
AUS,1963-06-01,tas,14.61
AUS,1963-07-01,tas,13.62
AUS,1963-08-01,tas,15.81
AUS,1963-09-01,tas,18.99
AUS,1963-10-01,tas,22.75
AUS,1963-11-01,tas,25.23
AUS,1963-12-01,tas,27.28
AUS,1964-01-01,tas,27.56
AUS,1964-02-01,tas,26.55
AUS,1964-03-01,tas,25.73
AUS,1964-04-01,tas,22.14
AUS,1964-05-01,tas,17.73
AUS,1964-06-01,tas,15.3
AUS,1964-07-01,tas,14.89
AUS,1964-08-01,tas,15.94
AUS,1964-09-01,tas,19.46
AUS,1964-10-01,tas,21.06
AUS,1964-11-01,tas,24.71
AUS,1964-12-01,tas,25.91
AUS,1965-01-01,tas,27.78
AUS,1965-02-01,tas,28.46
AUS,1965-03-01,tas,25.39
AUS,1965-04-01,tas,21.47
AUS,1965-05-01,tas,18.43
AUS,1965-06-01,tas,15.31
AUS,1965-07-01,tas,13.12
