year,season,enso,index,month,period,assumed_available_at
1975,FMA,-0.3,roni,3,1975-03-01,1975-05-05
1975,MAM,-0.4,roni,4,1975-04-01,1975-06-05
1975,AMJ,-0.6,roni,5,1975-05-01,1975-07-05
1975,MJJ,-0.7,roni,6,1975-06-01,1975-08-05
1975,JJA,-0.9,roni,7,1975-07-01,1975-09-05
1975,JAS,-0.9,roni,8,1975-08-01,1975-10-05
1975,ASO,-1.0,roni,9,1975-09-01,1975-11-05
1975,SON,-0.9,roni,10,1975-10-01,1975-12-05
1975,OND,-1.0,roni,11,1975-11-01,1976-01-05
1975,NDJ,-1.1,roni,12,1975-12-01,1976-02-05
1976,DJF,-1.0,roni,1,1976-01-01,1976-03-05
1976,JFM,-0.6,roni,2,1976-02-01,1976-04-05
1976,FMA,-0.3,roni,3,1976-03-01,1976-05-05
1976,MAM,-0.1,roni,4,1976-04-01,1976-06-05
1976,AMJ,0.0,roni,5,1976-05-01,1976-07-05
1976,MJJ,0.3,roni,6,1976-06-01,1976-08-05
1976,JJA,0.5,roni,7,1976-07-01,1976-09-05
1976,JAS,0.7,roni,8,1976-08-01,1976-10-05
1976,ASO,0.9,roni,9,1976-09-01,1976-11-05
1976,SON,1.0,roni,10,1976-10-01,1976-12-05
1976,OND,1.1,roni,11,1976-11-01,1977-01-05
1976,NDJ,1.1,roni,12,1976-12-01,1977-02-05
1977,DJF,1.0,roni,1,1977-01-01,1977-03-05
1977,JFM,0.9,roni,2,1977-02-01,1977-04-05
1977,FMA,0.5,roni,3,1977-03-01,1977-05-05
1977,MAM,0.3,roni,4,1977-04-01,1977-06-05
1977,AMJ,0.3,roni,5,1977-05-01,1977-07-05
1977,MJJ,0.5,roni,6,1977-06-01,1977-08-05
1977,JJA,0.5,roni,7,1977-07-01,1977-09-05
1977,JAS,0.5,roni,8,1977-08-01,1977-10-05
1977,ASO,0.6,roni,9,1977-09-01,1977-11-05
1977,SON,0.9,roni,10,1977-10-01,1977-12-05
1977,OND,1.1,roni,11,1977-11-01,1978-01-05
1977,NDJ,1.1,roni,12,1977-12-01,1978-02-05
1978,DJF,1.0,roni,1,1978-01-01,1978-03-05
1978,JFM,0.7,roni,2,1978-02-01,1978-04-05
1978,FMA,0.3,roni,3,1978-03-01,1978-05-05
1978,MAM,-0.1,roni,4,1978-04-01,1978-06-05
1978,AMJ,-0.3,roni,5,1978-05-01,1978-07-05
1978,MJJ,-0.2,roni,6,1978-06-01,1978-08-05
1978,JJA,-0.3,roni,7,1978-07-01,1978-09-05
1978,JAS,-0.3,roni,8,1978-08-01,1978-10-05
1978,ASO,-0.3,roni,9,1978-09-01,1978-11-05
1978,SON,-0.1,roni,10,1978-10-01,1978-12-05
1978,OND,0.2,roni,11,1978-11-01,1979-01-05
1978,NDJ,0.3,roni,12,1978-12-01,1979-02-05
1979,DJF,0.3,roni,1,1979-01-01,1979-03-05
1979,JFM,0.3,roni,2,1979-02-01,1979-04-05
1979,FMA,0.3,roni,3,1979-03-01,1979-05-05
1979,MAM,0.2,roni,4,1979-04-01,1979-06-05
1979,AMJ,0.1,roni,5,1979-05-01,1979-07-05
1979,MJJ,0.0,roni,6,1979-06-01,1979-08-05
1979,JJA,0.0,roni,7,1979-07-01,1979-09-05
1979,JAS,0.3,roni,8,1979-08-01,1979-10-05
1979,ASO,0.4,roni,9,1979-09-01,1979-11-05
1979,SON,0.5,roni,10,1979-10-01,1979-12-05
1979,OND,0.5,roni,11,1979-11-01,1980-01-05
1979,NDJ,0.6,roni,12,1979-12-01,1980-02-05
1980,DJF,0.7,roni,1,1980-01-01,1980-03-05
1980,JFM,0.5,roni,2,1980-02-01,1980-04-05
1980,FMA,0.3,roni,3,1980-03-01,1980-05-05
