period,scope,revenue_loss_2025usd_mean,revenue_loss_2025usd_p05,revenue_loss_2025usd_median,revenue_loss_2025usd_p95,agriculture_loss_2025usd_mean,agriculture_loss_2025usd_p05,agriculture_loss_2025usd_median,agriculture_loss_2025usd_p95,p_revenue_loss,p_loss_above_1pct_revenue,var95_2025usd,es95_2025usd,variant
2026–2027,Pacific_islands,14245603.177899426,-102451295.35572147,6955229.651316166,152090163.42883837,329188172.3928167,-133507563.82540566,297845100.94723016,897914788.2494079,0.5819,0.0294,152090163.42883837,237035453.43172,onset_june
2026–2027,excluding_Australia,663869314.3072394,-2171958889.5702457,386825473.0409397,4310784302.412134,11466429711.803877,-2055194944.093636,10947910391.632973,26847866091.817738,0.6315,0.0001,4310784302.412134,6123401509.413904,onset_june
2026,all_modeled,0.0,0.0,0.0,0.0,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.0,0.0,0.0,0.0,zero_direct_fiscal_transmission
2026,Pacific_islands,0.0,0.0,0.0,0.0,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.0,0.0,0.0,0.0,zero_direct_fiscal_transmission
2026,excluding_Australia,0.0,0.0,0.0,0.0,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.0,0.0,0.0,0.0,zero_direct_fiscal_transmission
2027,all_modeled,-52259852.44563516,-129181196.69347268,-50293929.62345812,15768658.783116192,7514626456.458192,-1984142357.094384,7236675677.626853,17984485059.35847,0.0959,0.0,15768658.783116192,39065099.76770157,zero_direct_fiscal_transmission
2027,Pacific_islands,-1182067.1469441045,-3186986.652288535,-1045920.6577226818,374085.0602639879,188905562.2795937,-99201750.38302705,170893193.45524347,542335251.932965,0.107,0.0,374085.0602639879,880011.9879638664,zero_direct_fiscal_transmission
2027,excluding_Australia,-47774672.54186612,-117167438.94747952,-46033080.43377709,12658139.383587046,6418228907.97292,-1890709894.997108,6169889370.081983,15625597064.51508,0.0896,0.0,12658139.383587046,33724930.31357834,zero_direct_fiscal_transmission
2026–2027,all_modeled,-52259852.44563516,-129181196.69347268,-50293929.62345812,15768658.783116192,13306757196.322624,-2152957980.509668,12791203480.713757,30866752080.12629,0.0959,0.0,15768658.783116192,39065099.76770157,zero_direct_fiscal_transmission
2026–2027,Pacific_islands,-1182067.1469441045,-3186986.652288535,-1045920.6577226818,374085.0602639879,334747749.3773665,-135444328.7665714,304540774.14891315,913693183.2124866,0.107,0.0,374085.0602639879,880011.9879638664,zero_direct_fiscal_transmission
2026–2027,excluding_Australia,-47774672.54186612,-117167438.94747952,-46033080.43377709,12658139.383587046,11726703369.005491,-1848411459.658982,11239232552.857103,27295131814.98392,0.0896,0.0,12658139.383587046,33724930.31357834,zero_direct_fiscal_transmission
2026,all_modeled,357334289.8141756,-1202324998.7992554,206646472.1732412,2333534347.231878,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.6306,0.0,2333534347.231878,3324366437.36935,central
2026,Pacific_islands,6849618.363448219,-43142816.68301004,3368548.3058340847,65675137.09107835,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.5902,0.0205,65675137.09107835,103793649.58191334,central
2026,excluding_Australia,312843543.5795689,-978397534.4292784,182025129.3679797,1963047813.563845,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.6366,0.0,1963047813.563845,2799798457.06025,central
2027,all_modeled,460446606.9292434,-1747760667.469179,254177802.3206272,3239012355.858809,7514626456.458192,-1984142357.094384,7236675677.626853,17984485059.35847,0.6175,0.0,3239012355.858809,4614392933.514657,central
2027,Pacific_islands,7616061.657946312,-62283563.456785455,3495288.8313467503,89792343.08940451,188905562.2795937,-99201750.38302705,170893193.45524347,542335251.932965,0.5702,0.0415,89792343.08940451,140443610.18201944,central
2027,excluding_Australia,364634800.3656341,-1293501132.320188,206058881.9142918,2500348133.6605096,6418228907.97292,-1890709894.997108,6169889370.081983,15625597064.51508,0.6198,0.0011,2500348133.6605096,3552546449.290297,central
2026–2027,all_modeled,817780896.7434188,-2881156489.5808463,470920827.0144582,5523943960.144789,13306757196.322624,-2152957980.509668,12791203480.713757,30866752080.12629,0.625,0.0,5523943960.144789,7767766552.847349,central
2026–2027,Pacific_islands,14465680.021394532,-102875582.80334736,7039043.891758204,153845613.94592223,334747749.3773665,-135444328.7665714,304540774.14891315,913693183.2124866,0.5812,0.0303,153845613.94592223,239868714.23911777,central
2026–2027,excluding_Australia,677478343.9452031,-2211985585.6387696,399418266.9605992,4372168530.543373,11726703369.005491,-1848411459.658982,11239232552.857103,27295131814.98392,0.6329,0.0001,4372168530.543373,6207708177.732723,central
2026,all_modeled,129279791.32355505,-758352569.1805155,60839726.58416355,1177666934.150762,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.5855,0.0,1177666934.150762,1693856391.956015,fiscal_prior_scale_0.5
2026,Pacific_islands,2946069.461664617,-23043719.367342744,1154706.4490944445,33680794.76487433,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.5665,0.0012,33680794.76487433,50411602.83654587,fiscal_prior_scale_0.5
2026,excluding_Australia,107863756.50495556,-612156901.328426,54605352.610073954,955999586.660574,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.5898,0.0,955999586.660574,1376662780.4119139,fiscal_prior_scale_0.5
2027,all_modeled,132624309.38717897,-1176939630.4134064,53640822.93121284,1618560329.111023,7514626456.458192,-1984142357.094384,7236675677.626853,17984485059.35847,0.551,0.0,1618560329.111023,2320468224.2593117,fiscal_prior_scale_0.5
2027,Pacific_islands,2581686.1519923774,-33760970.34917391,778488.7900610864,44534144.24005641,188905562.27959374,-99201750.38302703,170893193.45524347,542335251.932965,0.5352,0.0044,44534144.24005641,66900177.404848285,fiscal_prior_scale_0.5
2027,excluding_Australia,90618728.44653325,-869921459.9925417,35958520.74640313,1204850707.8408222,6418228907.97292,-1890709894.9971077,6169889370.081983,15625597064.51508,0.5455,0.0,1204850707.8408222,1716430271.9629548,fiscal_prior_scale_0.5
2026–2027,all_modeled,261904100.71073404,-1894310992.5236037,117689609.14891005,2757761548.979736,13306757196.322624,-2152957980.509668,12791203480.713755,30866752080.12629,0.5726,0.0,2757761548.979736,3916800869.6377892,fiscal_prior_scale_0.5
2026–2027,Pacific_islands,5527755.613656995,-55875880.213398,2043893.0077803433,77341990.94831182,334747749.3773665,-135444328.7665714,304540774.14891315,913693183.2124866,0.5547,0.0019,77341990.94831182,115015915.58574903,fiscal_prior_scale_0.5
2026–2027,excluding_Australia,198482484.95148882,-1445160274.6772025,98970706.47772816,2118114618.6289637,11726703369.005491,-1848411459.658982,11239232552.857105,27295131814.98392,0.5696,0.0,2118114618.6289637,3026087489.551897,fiscal_prior_scale_0.5
2026,all_modeled,455282087.3508492,-1317085961.215658,273949265.7358419,2704654038.439225,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.644,0.0,2704654038.439225,4032344772.2992196,fiscal_prior_scale_4.0
2026,Pacific_islands,7263959.902142688,-55390776.67362642,3476543.9725008905,78760483.05390444,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.5853,0.0339,78760483.05390444,126769547.23477407,fiscal_prior_scale_4.0
2026,excluding_Australia,401217092.3678231,-1083151450.6314995,245082866.98165128,2303623981.278329,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.6501,0.002,2303623981.278329,3467156608.833786,fiscal_prior_scale_4.0
2027,all_modeled,631808255.3818871,-1825909215.658119,363517758.6426632,3885678963.7213564,7514626456.458192,-1984142357.094384,7236675677.626853,17984485059.35847,0.6388,0.0002,3885678963.7213564,5625515128.905268,fiscal_prior_scale_4.0
2027,Pacific_islands,8727356.741596688,-78039929.56742364,3787290.908227384,107719428.63991389,188905562.27959374,-99201750.38302703,170893193.45524347,542335251.932965,0.5745,0.0577,107719428.63991389,175835350.1911496,fiscal_prior_scale_4.0
2027,excluding_Australia,509516833.08933145,-1340636729.1785877,294225857.4495748,2991426586.3171525,6418228907.97292,-1890709894.9971077,6169889370.081983,15625597064.51508,0.6464,0.0045,2991426586.3171525,4439636598.799302,fiscal_prior_scale_4.0
2026–2027,all_modeled,1087090342.7327363,-3041411855.457092,652310557.5938389,6439537677.265304,13306757196.322624,-2152957980.509668,12791203480.713755,30866752080.12629,0.6479,0.0,6439537677.265304,9406802812.236841,fiscal_prior_scale_4.0
2026–2027,Pacific_islands,15991316.643739374,-131679845.73867047,7395297.908290774,183722483.61656165,334747749.3773665,-135444328.7665714,304540774.14891315,913693183.2124866,0.5832,0.0447,183722483.61656165,297177926.95367223,fiscal_prior_scale_4.0
2026–2027,excluding_Australia,910733925.4571546,-2362606902.6540384,548312835.3315109,5264718409.838715,11726703369.005491,-1848411459.658982,11239232552.857105,27295131814.98392,0.6555,0.0028,5264718409.838715,7742303891.405967,fiscal_prior_scale_4.0
