country,crop,year,yield_effect_pct_mean,yield_effect_pct_p05,yield_effect_pct_median,yield_effect_pct_p95,p_yield_loss,anchor_year,anchor_production_t,area_response_estimated,price_response_estimated,production_effect_pct_mean,production_effect_pct_p05,production_effect_pct_median,production_effect_pct_p95,local_usd_price_effect_pct_mean,local_usd_price_effect_pct_p05,local_usd_price_effect_pct_median,local_usd_price_effect_pct_p95,gross_receipts_effect_pct_mean,gross_receipts_effect_pct_p05,gross_receipts_effect_pct_median,gross_receipts_effect_pct_p95,fixed_area_anchor_output_loss_t_mean,fixed_area_anchor_output_loss_t_p05,fixed_area_anchor_output_loss_t_median,fixed_area_anchor_output_loss_t_p95,tonnage_interpretation,scope
PNG,maize,2026,-1.6672656386248061,-5.1426564343829835,-1.778381408321391,2.11042991386659,0.8063,2024,12926.25,True,False,0.7565858722843716,-11.805702696398173,-0.25498839869109985,15.348462093840382,,,,,,,,,215.51492461273904,-272.7994467411808,229.87802679314382,664.7526273494301,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PNG,palm,2026,0.3057485996092873,-4.052891834794137,0.29071383067222784,4.67955768274809,0.455,2024,3513071.92,True,False,-0.03506402894703626,-7.184459945396976,-0.1396680260121256,7.406952410723789,,,,,,,,,-10741.168198667101,-164396.22693282593,-10212.985952902382,142381.00499612556,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PNG,rice,2026,-2.1629951106412624,-5.316023888900552,-2.0527037174324905,0.5725245133136413,0.9071,2024,882.53,True,False,0.3083224291055452,-8.290384488173673,0.070336448305814,9.177510419400166,,,,,,,,,19.089080749942333,-5.052700587346901,18.11572611745696,46.91550562671402,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PNG,sugar,2026,-0.4910198309451885,-4.210597822079429,-0.7004552962612693,4.005524096776334,0.6275,2024,306329.68,True,False,-0.7090633504165066,-16.962670603391846,-0.6303686842897074,13.048540856880999,,,,,,,,,1504.1394768709365,-12270.109147977837,2145.7024675801986,12898.310834462885,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
SLB,cocoa,2026,0.5599933116357219,-3.500304645476809,0.5035223284108379,4.7561701861535,0.4192,2024,4200.0,True,False,-2.187756777658333,-15.10635011149875,-2.043741371391704,10.863511055312227,,,,,,,,,-23.519719088700313,-199.75914781844702,-21.147937793255192,147.01279511002585,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
SLB,coconut,2026,-2.4355783284570047,-6.656255045661026,-2.487088152166544,1.90137982257935,0.8462,2024,121119.02,True,False,-2.6735071171431803,-7.219030164364184,-2.6768556080598955,1.9408341766824229,,,,,,,,,2949.948602759505,-2302.932607585848,3012.336796440227,8061.990880005187,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
SLB,palm,2026,-0.34952254688522055,-5.084710429614985,-0.3981758958639701,4.315699601651886,0.557,2024,217320.84,True,False,0.33478211022462123,-7.048546667699048,0.2748405312876616,7.66746520704738,,,,,,,,,759.5853348803552,-9378.914626186535,865.3192015691051,11050.135417206891,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
SLB,rice,2026,-1.9841068110925386,-5.5872567589445525,-1.9447980017884563,1.5937180554342538,0.8487,2024,2756.01,True,False,-14.184757211715315,-27.402870471552855,-13.820736550724755,-1.5809695821396414,,,,,,,,,54.682182124391474,-43.923028979573594,53.598827409090035,153.9853550021877,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
THA,cocoa,2026,0.16483427069626652,-4.334425670308598,0.12464683147392899,4.975232655378598,0.4786,2024,122.6,True,False,1.484165876618417,-8.313759534011243,1.18400183488195,12.329681049275216,,,,,,,,,-0.20208681587362276,-6.099635235494165,-0.15281701538703693,5.314005871798341,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
THA,coconut,2026,-2.455063138446505,-6.5263046578030925,-2.5202862838187463,1.8428918019131213,0.8484,2024,975238.13,True,True,-2.0851954926717866,-6.79251284293617,-2.1719541957410238,2.8665904669996753,-10.539276219183067,-21.25881910686843,-11.14923046247629,0.4680939658177601,-12.394657986848898,-23.739715760084948,-12.797534931948205,-0.16820409724526109,23942.711841705008,-17972.583546900863,24578.792824960434,63647.01150286175,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
