simulation,scenario,country,basis,loss_usd
215,super_stress,PORTFOLIO,climate_increment,701457739.2897834
216,super_stress,PORTFOLIO,climate_increment,817923459.560284
217,super_stress,PORTFOLIO,climate_increment,311005022.00402784
218,super_stress,PORTFOLIO,climate_increment,804607797.9320432
219,super_stress,PORTFOLIO,climate_increment,498665225.58603966
220,super_stress,PORTFOLIO,climate_increment,286254167.80579823
221,super_stress,PORTFOLIO,climate_increment,807748736.1736671
222,super_stress,PORTFOLIO,climate_increment,881771954.4818267
223,super_stress,PORTFOLIO,climate_increment,686445363.5336299
224,super_stress,PORTFOLIO,climate_increment,780092985.3601145
225,super_stress,PORTFOLIO,climate_increment,563731614.7654753
226,super_stress,PORTFOLIO,climate_increment,74085760.61457105
227,super_stress,PORTFOLIO,climate_increment,528540867.9582683
228,super_stress,PORTFOLIO,climate_increment,575694944.5782999
229,super_stress,PORTFOLIO,climate_increment,925575459.3540624
230,super_stress,PORTFOLIO,climate_increment,147581105.56632632
231,super_stress,PORTFOLIO,climate_increment,385899855.8989867
232,super_stress,PORTFOLIO,climate_increment,-720431429.2937069
233,super_stress,PORTFOLIO,climate_increment,599583441.0163376
234,super_stress,PORTFOLIO,climate_increment,415067797.28265965
235,super_stress,PORTFOLIO,climate_increment,644714480.6743464
236,super_stress,PORTFOLIO,climate_increment,729071907.0096896
237,super_stress,PORTFOLIO,climate_increment,306827153.2239887
238,super_stress,PORTFOLIO,climate_increment,87514681.99497518
239,super_stress,PORTFOLIO,climate_increment,388269785.001973
240,super_stress,PORTFOLIO,climate_increment,455402283.8362579
241,super_stress,PORTFOLIO,climate_increment,392299052.4891823
242,super_stress,PORTFOLIO,climate_increment,584190284.9627942
243,super_stress,PORTFOLIO,climate_increment,798144769.2069389
244,super_stress,PORTFOLIO,climate_increment,142585376.77480033
245,super_stress,PORTFOLIO,climate_increment,739749235.7510176
246,super_stress,PORTFOLIO,climate_increment,662908296.3796134
247,super_stress,PORTFOLIO,climate_increment,366477003.71738243
248,super_stress,PORTFOLIO,climate_increment,393741200.49939954
249,super_stress,PORTFOLIO,climate_increment,1207498420.6333718
250,super_stress,PORTFOLIO,climate_increment,670357969.8817883
251,super_stress,PORTFOLIO,climate_increment,1044927877.9423804
252,super_stress,PORTFOLIO,climate_increment,248830514.55696046
253,super_stress,PORTFOLIO,climate_increment,444687978.9027057
254,super_stress,PORTFOLIO,climate_increment,475832718.542402
255,super_stress,PORTFOLIO,climate_increment,448980366.55598915
256,super_stress,PORTFOLIO,climate_increment,132669829.55318215
257,super_stress,PORTFOLIO,climate_increment,567248810.3710947
258,super_stress,PORTFOLIO,climate_increment,380110371.18243366
259,super_stress,PORTFOLIO,climate_increment,445033615.97627765
260,super_stress,PORTFOLIO,climate_increment,1355052552.615601
261,super_stress,PORTFOLIO,climate_increment,134119831.45071875
262,super_stress,PORTFOLIO,climate_increment,615284428.3021041
263,super_stress,PORTFOLIO,climate_increment,169232039.1001214
264,super_stress,PORTFOLIO,climate_increment,210844673.35898057
265,super_stress,PORTFOLIO,climate_increment,304127045.1678658
266,super_stress,PORTFOLIO,climate_increment,695726842.235592
267,super_stress,PORTFOLIO,climate_increment,714375447.6893864
268,super_stress,PORTFOLIO,climate_increment,487096704.5647496
269,super_stress,PORTFOLIO,climate_increment,653411389.1495751
270,super_stress,PORTFOLIO,climate_increment,195632846.13494977
271,super_stress,PORTFOLIO,climate_increment,584396387.462245
272,super_stress,PORTFOLIO,climate_increment,862446586.028536
273,super_stress,PORTFOLIO,climate_increment,135193332.89002508
274,super_stress,PORTFOLIO,climate_increment,717423634.5457906
275,super_stress,PORTFOLIO,climate_increment,340076800.75170887
276,super_stress,PORTFOLIO,climate_increment,921210057.5231352
277,super_stress,PORTFOLIO,climate_increment,434572853.6346987
278,super_stress,PORTFOLIO,climate_increment,616401159.0642885
279,super_stress,PORTFOLIO,climate_increment,778446267.4981182
280,super_stress,PORTFOLIO,climate_increment,756412187.0472734
281,super_stress,PORTFOLIO,climate_increment,57883067.129582025
282,super_stress,PORTFOLIO,climate_increment,311691407.51796603
283,super_stress,PORTFOLIO,climate_increment,524987765.7221852
284,super_stress,PORTFOLIO,climate_increment,207346725.2742865
285,super_stress,PORTFOLIO,climate_increment,311167659.73233414
286,super_stress,PORTFOLIO,climate_increment,991911636.1881006
287,super_stress,PORTFOLIO,climate_increment,695965341.7390431
288,super_stress,PORTFOLIO,climate_increment,311384060.7950742
