commodity,year,price,n,growth,warm,cold,extreme,peak,warm_lag1,warm_lag2,phase
Coconut oil,1998,657.9166666666666,12,0.0016479689347930204,0.5,0.6833333333333332,0.07500000000000001,2.1,1.2416666666666667,0.0,El Nino
Coconut oil,1999,737.0833333333334,12,0.11362267990414399,0.0,1.0833333333333333,0.0,-0.8,0.5,1.2416666666666667,La Nina
Coconut oil,2000,450.3333333333333,12,-0.4927129075137966,0.0,0.7583333333333333,0.0,-0.3,0.0,0.5,La Nina
Coconut oil,2001,318.0833333333333,12,-0.3476746463348599,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,Neutral/mixed
Coconut oil,2002,421.0,12,0.280319430725152,0.5583333333333333,0.016666666666666666,0.0,1.3,0.0,0.0,El Nino
Coconut oil,2003,467.3333333333333,12,0.10440994524404434,0.21666666666666667,0.05833333333333333,0.0,0.9,0.5583333333333333,0.0,Neutral/mixed
Coconut oil,2004,660.75,12,0.34633277455797273,0.425,0.0,0.0,0.7,0.21666666666666667,0.5583333333333333,Neutral/mixed
Coconut oil,2005,616.9791666666666,12,-0.068540295681224,0.15,0.1416666666666667,0.0,0.5,0.425,0.21666666666666667,Neutral/mixed
Coconut oil,2006,606.9097222222225,12,-0.016455205609987367,0.3,0.26666666666666666,0.0,0.9,0.15,0.425,Neutral/mixed
Coconut oil,2007,918.875,12,0.41477004350106483,0.06666666666666667,0.6583333333333333,0.0,0.6,0.3,0.15,La Nina
Coconut oil,2008,1224.0,12,0.2867293673780198,0.0,0.7999999999999999,0.0,-0.2,0.06666666666666667,0.3,La Nina
Coconut oil,2009,725.375,12,-0.5231907005614991,0.43333333333333335,0.25,0.0,1.5,0.0,0.06666666666666667,Neutral/mixed
Coconut oil,2010,1123.5833333333333,12,0.437589499335302,0.27499999999999997,0.8583333333333334,0.0,1.4,0.43333333333333335,0.0,La Nina
Coconut oil,2011,1730.0833333333333,12,0.4316465940424745,0.0,0.7916666666666666,0.0,-0.3,0.27499999999999997,0.43333333333333335,La Nina
Coconut oil,2012,1110.8333333333333,12,-0.4430590925037947,0.10833333333333334,0.24166666666666667,0.0,0.4,0.0,0.27499999999999997,Neutral/mixed
Coconut oil,2013,939.4691666666666,12,-0.16755076394507373,0.0,0.4166666666666667,0.0,-0.2,0.10833333333333334,0.0,Neutral/mixed
Coconut oil,2014,1281.1241666666667,12,0.3101782272418703,0.15833333333333333,0.09166666666666667,0.0,0.6,0.0,0.10833333333333334,Neutral/mixed
Coconut oil,2015,1103.5116666666665,12,-0.14924042861956277,1.2750000000000001,0.0,0.19166666666666665,2.3,0.15833333333333333,0.0,El Nino
Coconut oil,2016,1481.7766666666666,12,0.29474429918211165,0.5,0.47500000000000003,0.07500000000000001,2.1,1.2750000000000001,0.15833333333333333,El Nino
Coconut oil,2017,1650.6499999999999,12,0.10792733147071498,0.0,0.4583333333333333,0.0,0.0,0.5,1.2750000000000001,Neutral/mixed
Coconut oil,2018,996.77,12,-0.5044043774427154,0.2416666666666667,0.3333333333333333,0.0,0.8,0.0,0.5,Neutral/mixed
Coconut oil,2019,735.6508333333333,12,-0.3037644563437194,0.30833333333333335,0.008333333333333333,0.0,0.7,0.2416666666666667,0.0,Neutral/mixed
Coconut oil,2020,1010.4037141479876,12,0.31734965201958154,0.016666666666666666,0.7166666666666667,0.0,0.1,0.30833333333333335,0.2416666666666667,La Nina
Coconut oil,2021,1636.3133333333335,12,0.4820957759187232,0.0,0.9666666666666667,0.0,-0.6,0.016666666666666666,0.30833333333333335,La Nina
Coconut oil,2022,1634.6375,12,-0.0010246766554153908,0.0,1.0833333333333333,0.0,-0.9,0.0,0.016666666666666666,La Nina
Coconut oil,2023,1075.1850000000002,12,-0.4189283274325559,0.5583333333333333,0.19999999999999998,0.0,1.4,0.0,0.0,El Nino
Coconut oil,2024,1518.658869288516,12,0.3453348827491993,0.19166666666666668,0.43333333333333335,0.0,1.1,0.5583333333333333,0.0,Neutral/mixed
